,dist_percentile,t_statistic,p_value
0,1.7000000000000002,4.6059045611697895,0.0002957954370775843
1,3.4000000000000004,5.65884562613444,2.5201760671088006e-05
2,5.1,6.78305976280992,8.899028789010404e-07
3,6.800000000000001,7.221947257693457,2.1591588070232526e-07
4,8.5,7.179687860913492,2.979061150472144e-07
5,10.2,8.01196708842266,2.0161697180898704e-08
6,11.899999999999999,8.815886672224892,1.7098895640050258e-09
7,13.600000000000001,9.112163630374932,6.085887756492244e-10
8,15.299999999999999,8.61418949389775,3.6933677347428262e-09
9,16.900000000000002,9.089923017971165,6.846252235044233e-10
10,18.6,8.986090723405736,1.0100502402031366e-09
11,20.3,9.027311613426631,9.141206514171145e-10
12,22.0,9.286086821543057,2.4962041826877076e-10
13,23.7,9.185726782129187,2.9945512689670045e-10
14,25.4,9.186927700251015,2.5401144809986923e-10
15,27.1,9.078348041915003,3.527237269594459e-10
16,28.799999999999997,8.900708859558247,6.079516363007492e-10
17,30.5,8.709305618875947,1.5056545369741003e-09
18,32.2,8.59144789738635,2.2967961767147994e-09
19,33.900000000000006,8.604117735924184,2.4938149365771963e-09
20,35.6,8.540512622940197,3.08298297035428e-09
21,37.3,8.611981821500864,3.229275868305541e-09
22,39.0,8.499018460415556,5.2072734070862456e-09
23,40.699999999999996,8.320855100948336,8.620842475230127e-09
24,42.4,8.26859944808883,1.0656941986226462e-08
25,44.1,8.093925556108923,1.815417209468686e-08
26,45.800000000000004,8.082543798914102,2.040351730215298e-08
27,47.5,8.018030423356516,2.7826762602845642e-08
28,49.2,7.888622982091927,3.809332040056646e-08
29,50.8,7.833643945080098,4.584052753086023e-08
30,52.5,7.823154672834058,4.914975875227594e-08
31,54.2,7.729973364624101,6.949792915971399e-08
32,55.900000000000006,7.660337762165044,8.681165926443627e-08
33,57.599999999999994,7.534017352695592,1.2677069292729208e-07
34,59.3,7.5673156528583965,1.1410967981066393e-07
35,61.0,7.478958550872258,1.496129473240922e-07
36,62.7,7.445117685149775,1.6789838077934044e-07
37,64.4,7.354917962356714,2.226041940336629e-07
38,66.10000000000001,7.388728056290508,2.0270867169748061e-07
39,67.80000000000001,7.328878743543498,2.5358116723258564e-07
40,69.5,7.27446626418859,3.035363793808764e-07
41,71.2,7.200083460385305,3.756110802391325e-07
42,72.89999999999999,7.190058344054138,3.82735123436804e-07
43,74.6,7.127455063648589,4.3427689434781577e-07
44,76.3,7.152986917356751,4.0418288574338485e-07
45,78.0,7.11931304188752,4.337349900076362e-07
46,79.7,7.195984312042986,3.441100351500143e-07
47,81.39999999999999,7.181960670638626,3.504373526832342e-07
48,83.1,7.196999312112985,3.464796106524096e-07
49,84.7,7.134230223812953,4.0085509145974025e-07
50,86.4,7.158921955617293,3.6363362909525856e-07
51,88.1,7.174606826589626,3.403844072194847e-07
52,89.8,7.129171511313809,3.9742537036752624e-07
53,91.5,7.146508017735408,3.7985305875179355e-07
54,93.2,7.063278354106917,4.789527853771466e-07
55,94.89999999999999,7.027620023515716,5.342090382314985e-07
56,96.6,7.0446956682220465,5.069896294365636e-07
57,98.3,6.964619842141006,6.271611251855651e-07
58,100.0,6.859100636834272,8.329782133517838e-07
